predictor,bucket_id,bin_label,edge,n_events,alert_rate,target_alert_rate,relative_error_pct,point_idx,mapping_new_fit_month,eval_month,seed
custom,3,>= 0.8,0.8,136092,0.05330952590894395,0.05,6.619051817887897,3,5,6,1
default,0,>= 0.2,0.2,136092,0.7320195162096229,0.7,4.574216601374708,3,5,6,1
default,1,>= 0.5,0.5,136092,0.38643711606854186,0.35,10.410604591011968,3,5,6,1
default,2,>= 0.6,0.6,136092,0.12000705405167093,0.1,20.007054051670927,3,5,6,1
default,3,>= 0.8,0.8,136092,0.061201246215795195,0.05,22.402492431590385,3,5,6,1
raw,0,>= 0.2,0.2,136092,0.003549069746935896,0.7,-99.49299003615201,3,5,6,1
raw,1,>= 0.5,0.5,136092,0.0004261822884519296,0.35,-99.87823363187088,3,5,6,1
raw,2,>= 0.6,0.6,136092,0.0002351350556976163,0.1,-99.76486494430239,3,5,6,1
raw,3,>= 0.8,0.8,136092,1.469594098110102e-05,0.05,-99.9706081180378,3,5,6,1
p1,0,>= 0.2,0.2,105580,0.6836806213297973,0.7,-2.3313398100289446,4,6,7,1
p1,1,>= 0.5,0.5,105580,0.36182042053419206,0.35,3.377263009769165,4,6,7,1
p1,2,>= 0.6,0.6,105580,0.11636673612426596,0.1,16.36673612426595,4,6,7,1
p1,3,>= 0.8,0.8,105580,0.060740670581549534,0.05,21.481341163099064,4,6,7,1
p1_5,0,>= 0.2,0.2,105580,0.2213297973100966,0.7,-68.38145752712906,4,6,7,1
p1_5,1,>= 0.5,0.5,105580,0.11912293995074824,0.35,-65.96487429978622,4,6,7,1
p1_5,2,>= 0.6,0.6,105580,0.05040727410494412,0.1,-49.592725895055885,4,6,7,1
p1_5,3,>= 0.8,0.8,105580,0.033595377912483425,0.05,-32.80924417503315,4,6,7,1
p2,0,>= 0.2,0.2,105580,0.6785754877817769,0.7,-3.0606446026032943,4,6,7,1
p2,1,>= 0.5,0.5,105580,0.3306497442697481,0.35,-5.528644494357685,4,6,7,1
p2,2,>= 0.6,0.6,105580,0.0903011934078424,0.1,-9.698806592157606,4,6,7,1
p2,3,>= 0.8,0.8,105580,0.044904337942792194,0.05,-10.191324114415618,4,6,7,1
custom,0,>= 0.2,0.2,105580,0.709660920628907,0.7,1.3801315184152858,4,6,7,1
custom,1,>= 0.5,0.5,105580,0.3560238681568479,0.35,1.7211051876708319,4,6,7,1
custom,2,>= 0.6,0.6,105580,0.09814358780071983,0.1,-1.8564121992801774,4,6,7,1
custom,3,>= 0.8,0.8,105580,0.047347982572456905,0.05,-5.304034855086195,4,6,7,1
default,0,>= 0.2,0.2,105580,0.7115646902822504,0.7,1.6520986117500702,4,6,7,1
default,1,>= 0.5,0.5,105580,0.36638567910589126,0.35,4.681622601683224,4,6,7,1
default,2,>= 0.6,0.6,105580,0.10926311801477552,0.1,9.263118014775515,4,6,7,1
default,3,>= 0.8,0.8,105580,0.05535139230914946,0.05,10.702784618298919,4,6,7,1
raw,0,>= 0.2,0.2,105580,0.0030971774957378293,0.7,-99.55754607203747,4,6,7,1
raw,1,>= 0.5,0.5,105580,0.00028414472437961733,0.35,-99.9188157930344,4,6,7,1
raw,2,>= 0.6,0.6,105580,0.00011365788975184695,0.1,-99.88634211024817,4,6,7,1
raw,3,>= 0.8,0.8,105580,9.471490812653911e-06,0.05,-99.9810570183747,4,6,7,1
